OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-32167,2024-131P,2025-10-07T19:29:42.000029,15.30197454,0.0001312,53.1607,42.2302,86.8342,28.4499,0,C,60268,280,1,-0.0002831,-8.399e-05,0,0.367,SpaceX-E
STARLINK-32144,2024-131Q,2025-10-07T19:23:42.000000,15.30227723,0.000117,53.1597,42.5424,94.492,200.7651,0,C,60269,280,1,-0.0010743,-0.0003188,0,0.462,SpaceX-E
STARLINK-32211,2024-131R,2025-10-07T19:23:42.000000,15.3019828,0.0001148,53.1592,42.868,86.9983,51.2329,0,C,60270,280,1,-0.00034684,-0.0001029,0,0.392,SpaceX-E
STARLINK-32164,2024-131S,2025-10-07T19:27:42.000019,15.30190744,0.0001222,53.1599,42.8876,88.1806,42.107,0,C,60271,280,1,-9.4529e-05,-2.8044e-05,0,0.35,SpaceX-E
STARLINK-32128,2024-131T,2025-10-07T19:26:41.999971,15.30197223,0.0001187,53.1608,42.3517,83.6942,316.1366,0,C,60272,280,1,-0.00034199,-0.00010146,0,0.399,SpaceX-E
STARLINK-32206,2024-131U,2025-10-07T19:36:42.000019,15.3022269,0.0001338,53.1587,42.7549,87.8561,135.0179,0,C,60273,280,1,-0.0010718,-0.00031799,0,0.499,SpaceX-E
STARLINK-32155,2024-131V,2025-10-07T19:28:41.999981,15.30214888,0.0001183,53.1588,42.7006,88.0721,139.1049,0,C,60274,280,1,-0.00094078,-0.00027909,0,0.485,SpaceX-E
STARLINK-32152,2024-131W,2025-10-07T19:24:41.999962,15.3020029,0.0001128,53.1607,42.3207,84.3668,325.2757,0,C,60275,280,1,-0.00056694,-0.00016817,0,0.368,SpaceX-E
STARLINK-32154,2024-131X,2025-10-07T19:29:42.000029,15.30203877,0.0001196,53.1607,42.2347,91.8257,11.8389,0,C,60276,280,1,-0.0004718,-0.00013998,0,0.402,SpaceX-E
STARLINK-32135,2024-131Y,2025-10-07T19:21:41.999990,15.30203062,0.0001249,53.1605,42.4425,91.6724,248.3205,0,C,60277,280,1,-0.00061113,-0.00018129,0,0.441,SpaceX-E
STARLINK-32156,2024-132A,2025-10-07T19:30:41.999990,15.30237751,0.0001251,53.161,42.4435,98.2413,328.3751,0,C,60278,280,1,-0.0012903,-0.00038293,0,0.516,SpaceX-E
STARLINK-32010,2024-132B,2025-10-07T19:31:42.000038,15.30201589,0.0001201,53.159,42.7986,84.6343,165.5449,0,C,60279,280,1,-0.00050974,-0.00015122,0,0.422,SpaceX-E
STARLINK-32118,2024-132C,2025-10-07T19:40:42.000038,15.30199372,0.0001326,53.1607,42.3416,87.1791,52.6578,0,C,60280,280,1,-0.00039664,-0.00011767,0,0.348,SpaceX-E
STARLINK-32038,2024-132D,2025-10-07T19:26:41.999971,15.30199018,0.0001341,53.1608,42.41,89.6541,344.9761,0,C,60281,280,1,-0.00050578,-0.00015003,0,0.429,SpaceX-E
STARLINK-32113,2024-132E,2025-10-07T19:24:41.999962,15.30200675,0.0001195,53.1608,42.428,84.4107,336.7491,0,C,60282,280,1,-0.00056265,-0.0001669,0,0.371,SpaceX-E
STARLINK-32037,2024-132F,2025-10-07T19:28:41.999981,15.30224238,4.53e-05,53.1599,42.6314,66.1833,259.7389,0,C,60283,280,1,-0.0010321,-0.00030623,0,0.436,SpaceX-E
STARLINK-32123,2024-132G,2025-10-07T19:30:41.999990,15.30232694,0.000124,53.1605,29.8991,80.3541,233.0031,0,C,60284,280,1,-0.00143,-0.00042427,0,0.543,SpaceX-E
